k,xk,f(xk),fd(xk),epsilon
978,1.8176e+272,3.6352e+272,0.321833,0.205691
979,-9.4777e+272,-1.89554e+273,-3.63169,1.19178
980,-1.46971e+273,-2.93943e+273,-0.395392,0.355133
981,-8.90393e+273,-1.78079e+274,-16.2319,0.834936
982,-1.0001e+274,-2.0002e+274,-0.159065,0.109698
983,-1.35749e+275,-2.71497e+275,0.626999,0.926327
984,2.97262e+275,5.94524e+275,0.82338,1.45666
985,-4.24791e+275,-8.49582e+275,-14.676,1.69978
986,-4.8268e+275,-9.65361e+275,0.785536,0.119933
987,7.4624e+275,1.49248e+276,0.900231,1.64682
988,-9.11645e+275,-1.82329e+276,0.857623,1.81856
989,1.21434e+276,2.42867e+276,-0.147501,1.75073
990,1.76799e+277,3.53597e+277,-18.4424,0.931315
991,1.95972e+277,3.91943e+277,0.609997,0.0978356
992,-4.46561e+277,-8.93123e+277,-1.51135,1.43885
993,-1.03751e+278,-2.07501e+278,0.770544,0.569582
994,1.65541e+278,3.31082e+278,0.800019,1.62674
995,-2.48302e+278,-4.96604e+278,0.816826,1.66669
996,3.59666e+278,7.19331e+278,-0.0934615,1.69037
997,8.05622e+279,1.61124e+280,0.739843,0.955356
998,-1.3722e+280,-2.74439e+280,-63.3453,1.5871
999,-1.41552e+280,-2.83104e+280,-1.69661,0.0306066
1000,-3.08417e+280,-6.16833e+280,-1.45547,0.541036
1001,-7.3222e+280,-1.46444e+281,-2.61933,0.578792
1002,-1.29131e+281,-2.58262e+281,-1.41886,0.432963
1003,-3.11152e+281,-6.22304e+281,-1.8251,0.584991
1004,-6.52122e+281,-1.30424e+282,-2.78705,0.522863
1005,-1.12009e+282,-2.24017e+282,0.999981,0.417793
1006,1.12013e+282,2.24026e+282,0.891901,1.99996
1007,-1.39165e+282,-2.7833e+282,-808.079,1.80489
1008,-1.39509e+282,-2.79019e+282,0.521932,0.00246889
1009,3.95079e+282,7.90158e+282,-6.77264,1.35312
1010,5.11748e+282,1.0235e+283,-1.59426,0.227982
1011,1.15374e+283,2.30748e+283,0.951481,0.556443
1012,-1.2714e+283,-2.54281e+283,0.984228,1.90745
1013,1.31215e+283,2.6243e+283,0.2148,1.96894
1014,-1.09053e+284,-2.18106e+284,0.487447,1.12032
1015,3.38392e+284,6.76785e+284,0.897185,1.32227
1016,-4.1595e+284,-8.319e+284,0.500869,1.81354
1017,1.24496e+285,2.48993e+285,-878.059,1.33411
1018,1.2478e+285,2.4956e+285,-0.00374257,0.00227257
1019,6.68061e+287,1.33612e+288,0.917243,0.998132
1020,-7.88611e+287,-1.57722e+288,0.298903,1.84714
1021,4.48809e+288,8.97618e+288,0.978407,1.17571
1022,-4.68619e+288,-9.37239e+288,0.41354,1.95773
1023,1.79776e+289,3.59552e+289,-83.7235,1.26067
1024,1.8407e+289,3.68141e+289,-39.6871,0.0233308
1025,1.93347e+289,3.86693e+289,-0.722652,0.0479765
1026,7.28449e+289,1.4569e+290,-0.486304,0.734578
1027,3.72431e+290,7.44861e+290,-41.2306,0.804407
1028,3.90496e+290,7.80993e+290,-23.7798,0.0462635
1029,4.23339e+290,8.46678e+290,0.932967,0.07758
1030,-4.84173e+290,-9.68345e+290,0.989116,1.87436
1031,4.94828e+290,9.89657e+290,-0.305475,1.97847
1032,3.73456e+291,7.46912e+291,0.851575,0.8675
1033,-5.03638e+291,-1.00728e+292,0.964049,1.74152
1034,5.41202e+291,1.0824e+292,0.79169,1.93059
1035,-8.26004e+291,-1.65201e+292,-2.39982,1.6552
1036,-1.51439e+292,-3.02879e+292,0.77428,0.454564
1037,2.39735e+292,4.7947e+292,-0.898411,1.63169
1038,7.73423e+292,1.54685e+293,-17.2798,0.690033
1039,8.6294e+292,1.72588e+293,-4.27083,0.103735
1040,1.26705e+293,2.5341e+293,-1.0605,0.318937
1041,3.65659e+293,7.31318e+293,-57.0977,0.653489
1042,3.78467e+293,7.56934e+293,0.724459,0.0338423
1043,-6.66359e+293,-1.33272e+294,-2.50708,1.56796
1044,-1.19794e+294,-2.39588e+294,0.878483,0.443746
1045,1.52935e+294,3.05871e+294,0.970755,1.7833
1046,-1.6215e+294,-3.243e+294,0.891128,1.94317
1047,2.01771e+294,4.03541e+294,-67.9567,1.80364
1048,2.07709e+294,4.15418e+294,0.0995087,0.0285891
1049,-3.96698e+295,-7.93396e+295,-0.734722,1.05236
1050,-1.47656e+296,-2.95311e+296,0.97994,0.731336
1051,1.53701e+296,3.07402e+296,0.871859,1.96067
1052,-1.98881e+296,-3.97762e+296,0.939576,1.77283
1053,2.24461e+296,4.48922e+296,-0.136564,1.88604
